product_number,name,L_star,a_star,b_star,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,KS_400,KS_410,KS_420,KS_430,KS_440,KS_450,KS_460,KS_470,KS_480,KS_490,KS_500,KS_510,KS_520,KS_530,KS_540,KS_550,KS_560,KS_570,KS_580,KS_590,KS_600,KS_610,KS_620,KS_630,KS_640,KS_650,KS_660,KS_670,KS_680,KS_690,KS_700
1278,Pyrrole Red Dark,37.4463,45.142,21.8642,5.67,5.01,4.54,4.37,4.31,4.23,4.29,4.26,4.29,4.35,4.32,4.39,4.45,4.48,4.47,4.52,4.75,5.09,5.55,7.1,11.99,22.04,37.06,52.76,65.78,75.27,80.44,82.69,83.75,84.47,85.18,7.8467,9.0051,10.0359,10.4635,10.6225,10.8415,10.6765,10.7584,10.6765,10.516,10.5957,10.4115,10.2582,10.1831,10.208,10.0845,9.5501,8.8486,8.0368,6.0778,3.2301,1.3788,0.5345,0.2115,0.089,0.0406,0.0238,0.0181,0.0158,0.0143,0.0129
1279,Pyrrole Red Light,47.0965,57.1416,37.8768,4.38,4.35,4.4,4.48,4.54,4.46,4.49,4.42,4.41,4.4,4.31,4.35,4.33,4.34,4.44,4.51,5.01,7.64,14.43,25.77,39.87,54.08,66.46,75.08,79.85,83.21,86.38,88.95,90.36,91.07,91.42,10.4374,10.516,10.3856,10.1831,10.0359,10.2331,10.1583,10.3343,10.3599,10.3856,10.6225,10.516,10.569,10.5424,10.2835,10.109,9.0051,5.5827,2.5372,1.0691,0.4534,0.195,0.0846,0.0414,0.0254,0.0169,0.0107,0.0069,0.0051,0.0044,0.004
1280,Quin Burnt Orange,29.0357,14.553,7.028,4.55,4.42,4.37,4.33,4.39,4.36,4.46,4.42,4.46,4.51,4.4,4.35,4.35,4.4,4.36,4.26,4.4,4.98,6.37,8.19,9.55,10.27,10.74,11.09,11.47,12.02,12.77,13.69,14.91,16.53,18.72,10.0118,10.3343,10.4635,10.569,10.4115,10.4897,10.2331,10.3343,10.2331,10.109,10.3856,10.516,10.516,10.3856,10.4897,10.7584,10.3856,9.0651,6.8811,5.146,4.2834,3.9199,3.7092,3.564,3.4165,3.2198,2.9793,2.7208,2.428,2.1075,1.7645
1290,Quin Crimson,26.1715,11.9602,2.9238,4.57,4.43,4.37,4.29,4.31,4.22,4.25,4.17,4.16,4.15,4.08,4.09,4.08,4.05,4.04,4.01,4.06,4.09,4.14,4.34,5.07,6.38,8.41,10.6,12.59,14.4,16.1,17.47,18.16,19.42,22.56,9.9638,10.3088,10.4635,10.6765,10.6225,10.8694,10.786,11.0113,11.04,11.0689,11.2753,11.2454,11.2753,11.3659,11.3964,11.4889,11.3356,11.2454,11.098,10.5424,8.8873,6.8689,4.9874,3.77,3.0344,2.5442,2.1861,1.9494,1.8441,1.6718,1.3291
1305,Quin Magenta,31.1919,28.3637,4.1431,8.11,7.93,7.4,6.85,6.22,5.59,5.23,4.91,4.68,4.55,4.42,4.39,4.33,4.36,4.48,4.52,4.57,4.77,5.1,5.76,6.99,9.36,14.78,23.41,33.2,41.97,48.32,52.58,55.63,58.13,60.66,5.2058,5.3448,5.7938,6.3335,7.0697,7.9725,8.5864,9.2078,9.7072,10.0118,10.3343,10.4115,10.569,10.4897,10.1831,10.0845,9.9638,9.506,8.8294,7.7094,6.188,4.3887,2.4568,1.2529,0.672,0.4012,0.2764,0.2138,0.1769,0.1508,0.1276
1301,Quin Nickel Azo,36.4711,20.9487,18.8502,4.31,4.25,4.24,4.24,4.28,4.24,4.4,4.7,5.59,6.4,6.56,6.46,6.43,6.55,6.34,5.85,5.84,7.21,10.3,13.91,16.58,18.12,19.47,21.24,23.62,26.22,28.36,30.16,32.61,36.05,40.05,10.6225,10.786,10.8137,10.8137,10.7036,10.8137,10.3856,9.6618,7.9725,6.8445,6.6548,6.7722,6.8082,6.6663,6.9181,7.5763,7.5908,5.9709,3.9059,2.6641,2.0986,1.85,1.6654,1.4602,1.235,1.038,0.9048,0.8086,0.6963,0.5672,0.4487
1310,Quin Red,36.3232,40.3082,15.1989,8.22,7.94,7.13,6.26,5.51,4.94,4.73,4.5,4.4,4.41,4.33,4.35,4.43,4.5,4.48,4.47,4.69,5.33,6.6,8.79,13.59,22.92,33.81,41.61,46.77,51.26,55.31,58.9,62.17,65.37,68.61,5.1238,5.3369,6.0483,7.0185,8.102,9.1462,9.5945,10.1336,10.3856,10.3599,10.569,10.516,10.3088,10.1336,10.1831,10.208,9.6844,8.4075,6.6088,4.7322,2.7471,1.2961,0.6479,0.4097,0.3029,0.2317,0.1805,0.1434,0.1151,0.0917,0.0718
1320,Quin Red Light,41.8174,44.9982,20.8537,9.59,9.17,8.31,7.37,6.55,5.93,5.46,5.05,4.87,4.73,4.53,4.6,4.68,4.66,4.76,5.15,6.15,8.27,12.23,18.48,26.66,35.02,42.16,47.55,51.98,56.2,59.88,62.89,65.41,67.72,70.0,4.2617,4.4984,5.0584,5.8211,6.6663,7.4614,8.1848,8.9262,9.2913,9.5945,10.0602,9.8926,9.7072,9.7529,9.528,8.7345,7.1608,5.0873,3.1495,1.798,1.0088,0.6029,0.3968,0.2893,0.2218,0.1707,0.1344,0.1095,0.0915,0.0769,0.0643
1330,Quin Violet,29.7422,25.3452,7.2132,6.26,5.72,5.3,4.94,4.69,4.49,4.4,4.28,4.25,4.24,4.16,4.16,4.18,4.18,4.16,4.15,4.24,4.47,4.81,5.22,5.99,8.17,14.1,22.62,29.96,35.09,38.72,41.75,44.54,47.18,49.86,7.0185,7.7699,8.4605,9.1462,9.6844,10.1583,10.3856,10.7036,10.786,10.8137,11.04,11.04,10.9826,10.9826,11.04,11.0689,10.8137,10.208,9.4191,8.6046,7.3772,5.1608,2.6166,1.3235,0.8187,0.6004,0.4849,0.4064,0.3453,0.2957,0.2521
1340,Raw Sienna,50.8851,16.1519,31.2062,5.57,5.74,5.96,6.44,7.2,7.62,7.81,7.79,7.97,8.39,9.09,10.12,11.52,13.32,15.61,18.25,21.18,24.18,26.8,28.69,29.78,30.18,30.29,30.28,30.29,30.5,30.74,31.09,31.64,32.4,33.37,8.0045,7.7395,7.4191,6.7962,5.9804,5.5998,5.4411,5.4574,5.3134,5.0014,4.546,3.9913,3.3979,2.8204,2.2811,1.831,1.4666,1.1887,0.9997,0.8862,0.8279,0.8076,0.8022,0.8027,0.8022,0.7918,0.7802,0.7637,0.7385,0.7052,0.6652
